id,quality_grade,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
284970868,needs_id,https://www.inaturalist.org/observations/284970868,https://inaturalist-open-data.s3.amazonaws.com/photos/512191643/medium.jpg,Leopard Slug,Limax maximus,Leopard Slug,Mollusca,62470
284938242,needs_id,https://www.inaturalist.org/observations/284938242,https://inaturalist-open-data.s3.amazonaws.com/photos/512128857/medium.jpg,,Limax maximus,Leopard Slug,Mollusca,62470
284915597,needs_id,https://www.inaturalist.org/observations/284915597,https://inaturalist-open-data.s3.amazonaws.com/photos/512085501/medium.jpg,Grande limaccia grigia,Limax maximus,Leopard Slug,Mollusca,62470
284915186,needs_id,https://www.inaturalist.org/observations/284915186,https://static.inaturalist.org/photos/512084819/medium.jpg,Tigerschnegel,Limax maximus,Leopard Slug,Mollusca,62470
284914728,needs_id,https://www.inaturalist.org/observations/284914728,https://inaturalist-open-data.s3.amazonaws.com/photos/512083854/medium.jpg,pomrów wielki,Limax maximus,Leopard Slug,Mollusca,62470
284911001,research,https://www.inaturalist.org/observations/284911001,https://inaturalist-open-data.s3.amazonaws.com/photos/512076005/medium.jpg,Leopard Slug,Limax maximus,Leopard Slug,Mollusca,62470
284900832,needs_id,https://www.inaturalist.org/observations/284900832,https://static.inaturalist.org/photos/512107826/medium.jpg,,Limax maximus,Leopard Slug,Mollusca,62470
284903424,needs_id,https://www.inaturalist.org/observations/284903424,https://inaturalist-open-data.s3.amazonaws.com/photos/512060474/medium.jpg,Tigerschnegel,Limax maximus,Leopard Slug,Mollusca,62470
284895785,research,https://www.inaturalist.org/observations/284895785,https://inaturalist-open-data.s3.amazonaws.com/photos/512045969/medium.jpg,Tigerschnegel,Limax maximus,Leopard Slug,Mollusca,62470
284912360,needs_id,https://www.inaturalist.org/observations/284912360,https://inaturalist-open-data.s3.amazonaws.com/photos/512078684/medium.jpg,Grote aardslak,Limax maximus,Leopard Slug,Mollusca,62470
